Year,ID,Enrollment_Status,BIPOC,Household_Size,,rowNum,colNum
2021,3333062,Enrolled,At least one BIPOC,Single child,,288,911
2021,3332874,Enrolled,At least one BIPOC,Multiple children,,289,1570
2021,333684,Enrolled,At least one BIPOC,Single child,,290,1346
2021,3333009,Enrolled,At least one BIPOC,Multiple children,,291,703
2021,3332891,Enrolled,All White,Single child,,292,113
2021,3331388,Enrolled,At least one BIPOC,Multiple children,,293,1475
2021,3333071,Enrolled,All White,Multiple children,,294,318
2021,3332373,Enrolled,At least one BIPOC,Multiple children,,295,640
2021,3331339,Enrolled,All White,Single child,,296,844
2021,3331164,Enrolled,At least one BIPOC,Multiple children,,297,1842
2021,3332552,Enrolled,At least one BIPOC,Multiple children,,298,1306
2021,3333450,Enrolled,At least one BIPOC,Multiple children,,299,1239
2021,3333459,Enrolled,All White,Multiple children,,300,1720
2021,3331825,Enrolled,At least one BIPOC,Multiple children,,301,1278
2021,3331010,Enrolled,At least one BIPOC,Multiple children,,302,259
2021,3331560,Enrolled,All White,Single child,,303,415
2021,3332809,Enrolled,All White,Multiple children,,304,1757
2021,3331886,Enrolled,At least one BIPOC,Multiple children,,305,579
2021,3331505,Enrolled,,Single child,,306,1909
2021,3331129,Enrolled,At least one BIPOC,Single child,,307,458
2021,3331959,Enrolled,All White,Multiple children,,308,1614
2021,3331741,Enrolled,At least one BIPOC,Single child,,309,100
2021,3331734,Enrolled,At least one BIPOC,Multiple children,,310,800
2021,3331666,Enrolled,At least one BIPOC,Single child,,311,979
2021,333308,Enrolled,At least one BIPOC,Multiple children,,312,293
2021,3333571,Enrolled,All White,Multiple children,,313,1292
2021,3331448,Enrolled,All White,Multiple children,,314,348
2021,3332161,Enrolled,At least one BIPOC,Multiple children,,315,403
2021,3333072,Enrolled,At least one BIPOC,Single child,,316,1279
2021,3331651,Enrolled,At least one BIPOC,Multiple children,,317,1178
2021,3333233,Enrolled,At least one BIPOC,Single child,,318,828
2021,3331982,Enrolled,At least one BIPOC,Multiple children,,319,1874
2021,3333391,Enrolled,At least one BIPOC,Multiple children,,320,1530
2021,3333094,Enrolled,,Multiple children,,321,463
2021,333244,Enrolled,All White,Multiple children,,322,753
2021,3333078,Enrolled,At least one BIPOC,Multiple children,,323,1563
2021,3333393,Enrolled,At least one BIPOC,Multiple children,,324,440
2021,3331903,Enrolled,All White,Multiple children,,325,1545
2021,333825,Enrolled,At least one BIPOC,Single child,,326,1583
2021,333431,Enrolled,At least one BIPOC,Multiple children,,327,1489
2021,3331866,Enrolled,At least one BIPOC,Single child,,328,528
2021,3332965,Enrolled,At least one BIPOC,Multiple children,,329,481
2021,3331020,Enrolled,All White,Single child,,330,197
2021,3331394,Enrolled,At least one BIPOC,Multiple children,,331,1821
2021,3332818,Enrolled,At least one BIPOC,Single child,,332,129
2021,3331275,Enrolled,All White,Multiple children,,333,52
2021,3331967,Enrolled,At least one BIPOC,Multiple children,,334,556
2021,333852,Enrolled,All White,Multiple children,,335,1370
2021,3332819,Enrolled,At least one BIPOC,Single child,,336,1860
2021,3331580,Enrolled,At least one BIPOC,Multiple children,,337,760
2021,3332096,Enrolled,,,,338,1679
2021,333701,Enrolled,At least one BIPOC,Multiple children,,339,688
2021,333881,Enrolled,At least one BIPOC,Multiple children,,340,1849
2021,3331341,Enrolled,All White,Multiple children,,341,652
2021,3331790,Enrolled,,,,342,148
2021,333615,Enrolled,All White,Multiple children,,343,1899
2021,3331278,Enrolled,All White,Multiple children,,344,1886
2021,3331735,Enrolled,At least one BIPOC,Multiple children,,345,1639
2021,3333247,Enrolled,,Single child,,346,1839
2021,3333503,Enrolled,At least one BIPOC,Single child,,347,469
2021,3333114,Enrolled,At least one BIPOC,Single child,,348,1999
2021,3332494,Enrolled,At least one BIPOC,Single child,,349,1188
2021,3333350,Enrolled,At least one BIPOC,Multiple children,,350,1208
2021,3333268,Enrolled,At least one BIPOC,Multiple children,,351,1946
2021,3332397,Enrolled,All White,Multiple children,,352,883
2021,3333521,Enrolled,At least one BIPOC,Single child,,353,1285
2021,333222,Enrolled,At least one BIPOC,Multiple children,,354,1426
2021,3331939,Enrolled,At least one BIPOC,Multiple children,,355,1226
2021,333468,Enrolled,At least one BIPOC,Single child,,356,298
2021,333314,Enrolled,All White,Multiple children,,357,61
2021,3331568,Enrolled,All White,Multiple children,,358,414
2021,3331269,Enrolled,At least one BIPOC,Multiple children,,359,209
2021,3331239,Enrolled,At least one BIPOC,Multiple children,,360,207
2021,33389,Enrolled,At least one BIPOC,Single child,,361,717
2021,333883,Enrolled,At least one BIPOC,Multiple children,,362,959
2021,333493,Enrolled,At least one BIPOC,Single child,,363,861
2021,333316,Enrolled,All White,Multiple children,,364,1805
2021,3333190,Enrolled,At least one BIPOC,Single child,,365,544
2021,3332218,Enrolled,At least one BIPOC,Multiple children,,366,797
2021,333694,Enrolled,At least one BIPOC,Multiple children,,367,458
2021,333819,Enrolled,All White,Single child,,368,230
2021,3331201,Enrolled,,Single child,,369,1759
2021,3333001,Enrolled,All White,Single child,,370,338
2021,3331062,Enrolled,At least one BIPOC,Multiple children,,371,1432
2021,333311,Enrolled,At least one BIPOC,Multiple children,,372,1988
2021,333853,Enrolled,At least one BIPOC,Multiple children,,373,1417
2021,3331407,Enrolled,All White,Multiple children,,374,90
2021,3332836,Enrolled,At least one BIPOC,Single child,,375,1330
2021,333121,Enrolled,At least one BIPOC,Multiple children,,376,753
2021,333835,Enrolled,At least one BIPOC,Multiple children,,377,1766
2021,333126,Enrolled,At least one BIPOC,Multiple children,,378,1875
2021,3333129,Enrolled,At least one BIPOC,Multiple children,,379,1848
2021,33340,Enrolled,All White,Single child,,380,1036
2021,333734,Enrolled,At least one BIPOC,Single child,,381,1160
2021,3331112,Enrolled,At least one BIPOC,Single child,,382,1859
2021,3331567,Enrolled,All White,Multiple children,,383,588
2021,333408,Enrolled,At least one BIPOC,Multiple children,,384,1689
2021,3332027,Enrolled,All White,Multiple children,,385,205
2021,3332087,Enrolled,At least one BIPOC,Multiple children,,386,1655
2021,3332163,Enrolled,All White,Multiple children,,387,1983
2021,3332495,Enrolled,At least one BIPOC,Multiple children,,388,456
2021,3333308,Enrolled,All White,Single child,,389,1506
2021,3332082,Enrolled,At least one BIPOC,Multiple children,,390,621
2021,3331794,Enrolled,At least one BIPOC,Multiple children,,391,395
2021,3331069,Enrolled,At least one BIPOC,Single child,,392,1752
2021,3331960,Enrolled,At least one BIPOC,Single child,,393,1905
2021,3332727,Enrolled,At least one BIPOC,Single child,,394,738
2021,3332688,Enrolled,At least one BIPOC,Multiple children,,395,1590
2021,3332260,Enrolled,,,,396,958
2021,333279,Enrolled,At least one BIPOC,Multiple children,,397,1991
2021,33343,Enrolled,At least one BIPOC,Single child,,398,1878
2021,333545,Enrolled,All White,Multiple children,,399,394
2021,333551,Enrolled,At least one BIPOC,Single child,,400,506
2021,3332162,Enrolled,At least one BIPOC,Single child,,401,943
2021,333368,Enrolled,At least one BIPOC,Multiple children,,402,1152
2021,3332157,Enrolled,At least one BIPOC,Multiple children,,403,1493
2021,3331467,Enrolled,At least one BIPOC,Multiple children,,404,1677
2021,33317,Enrolled,At least one BIPOC,Multiple children,,405,613
2021,3333415,Enrolled,At least one BIPOC,Multiple children,,406,1867
2021,3333550,Enrolled,At least one BIPOC,Multiple children,,407,941
2021,3332498,Enrolled,At least one BIPOC,Multiple children,,408,422
2021,3331280,Enrolled,At least one BIPOC,Multiple children,,409,545
2021,333307,Enrolled,At least one BIPOC,Single child,,410,1527
2021,3333285,Enrolled,At least one BIPOC,Multiple children,,411,1667
2021,3333410,Enrolled,,,,412,1004
2021,3331761,Enrolled,All White,Single child,,413,1049
2021,3332306,Enrolled,At least one BIPOC,Single child,,414,1439
2021,3331843,Enrolled,At least one BIPOC,Multiple children,,415,567
2021,3331685,Enrolled,All White,Single child,,416,1834
2022,171,Enrolled,At least one BIPOC,Single child,,1,1954
2022,253,Enrolled,At least one BIPOC,Multiple children,,2,798
2022,422,Enrolled,At least one BIPOC,Single child,,3,669
2022,471,Enrolled,At least one BIPOC,Multiple children,,4,192
2022,609,Enrolled,At least one BIPOC,Single child,,5,325
2022,775,Enrolled,At least one BIPOC,Single child,,6,1640
2022,833,Enrolled,All White,Multiple children,,7,987
2022,899,Enrolled,At least one BIPOC,Multiple children,,8,772
2022,1003,Enrolled,At least one BIPOC,Multiple children,,9,1295
